NOP, 00000
XRI, 00001
BZ,  00010
JMR, 00011
ADD, 00100
AND, 00101
IN,  00110
LD,  00111
SUB, 01000
NOT, 01001
JML, 01010
AIU, 01011
ORI, 01100
ST,  01101
OUT, 01110
SLT, 01111
MOV, 10000
ADI, 10001
BNZ, 10010
LSL, 10011
JMP, 10100
